ref	rel	RELATION
87676	7359	IDENTICAL
87676	404241	IDENTICAL
87676	7652	IDENTICAL
87676	80832	IDENTICAL
87676	627048	IDENTICAL
70422	87676	IDENTICAL
70422	247519	IDENTICAL
70422	91041	IDENTICAL
70422	7359	IDENTICAL
70422	404241	IDENTICAL
70422	7652	IDENTICAL
70422	80832	IDENTICAL
70422	627048	IDENTICAL
247519	87676	IDENTICAL
247519	70422	IDENTICAL
247519	91041	IDENTICAL
247519	7359	IDENTICAL
247519	404241	IDENTICAL
247519	7652	IDENTICAL
247519	80832	IDENTICAL
247519	627048	IDENTICAL
91041	87676	IDENTICAL
91041	70422	IDENTICAL
91041	247519	IDENTICAL
91041	7359	IDENTICAL
91041	404241	IDENTICAL
91041	7652	IDENTICAL
91041	80832	IDENTICAL
91041	627048	IDENTICAL
7359	87676	IDENTICAL
7359	70422	IDENTICAL
7359	247519	IDENTICAL
7359	91041	IDENTICAL
7359	404241	IDENTICAL
7359	7652	IDENTICAL
7359	80832	IDENTICAL
7359	627048	IDENTICAL
404241	87676	IDENTICAL
404241	70422	IDENTICAL
404241	247519	IDENTICAL
404241	91041	IDENTICAL
404241	7359	IDENTICAL
404241	7652	IDENTICAL
404241	80832	IDENTICAL
404241	627048	IDENTICAL
7652	87676	IDENTICAL
7652	70422	IDENTICAL
7652	247519	IDENTICAL
7652	91041	IDENTICAL
7652	7359	IDENTICAL
7652	404241	IDENTICAL
7652	80832	IDENTICAL
7652	627048	IDENTICAL
80832	87676	IDENTICAL
80832	70422	IDENTICAL
80832	247519	IDENTICAL
80832	91041	IDENTICAL
80832	7359	IDENTICAL
80832	404241	IDENTICAL
80832	7652	IDENTICAL
80832	627048	IDENTICAL
627048	87676	IDENTICAL
627048	70422	IDENTICAL
627048	247519	IDENTICAL
627048	91041	IDENTICAL
627048	7359	IDENTICAL
627048	404241	IDENTICAL
627048	7652	IDENTICAL
627048	80832	IDENTICAL
90068	237447	IDENTICAL
237447	90068	IDENTICAL
90188	529304	IDENTICAL
529304	90188	IDENTICAL
90288	163508	IDENTICAL
163508	90288	IDENTICAL
250560	213312	IDENTICAL
213312	250560	IDENTICAL
251252	251251	IDENTICAL
251252	250836	IDENTICAL
251252	759238	IDENTICAL
251252	2500729	IDENTICAL
251251	251252	IDENTICAL
251251	250836	IDENTICAL
251251	759238	IDENTICAL
251251	2500729	IDENTICAL
250836	251252	IDENTICAL
250836	251251	IDENTICAL
250836	759238	IDENTICAL
250836	2500729	IDENTICAL
759238	251252	IDENTICAL
759238	251251	IDENTICAL
759238	250836	IDENTICAL
759238	2500729	IDENTICAL
2500729	251252	IDENTICAL
2500729	251251	IDENTICAL
2500729	250836	IDENTICAL
2500729	759238	IDENTICAL
251948	251947	IDENTICAL
251947	251948	IDENTICAL
252044	187565	IDENTICAL
187565	252044	IDENTICAL
252776	223370	IDENTICAL
223370	252776	IDENTICAL
253196	148551	IDENTICAL
253196	238084	IDENTICAL
148551	253196	IDENTICAL
148551	238084	IDENTICAL
238084	253196	IDENTICAL
238084	148551	IDENTICAL
253268	253567	IDENTICAL
253268	253744	IDENTICAL
253268	253570	IDENTICAL
253268	253566	IDENTICAL
253268	253569	IDENTICAL
253567	253268	IDENTICAL
253567	253744	IDENTICAL
253567	253570	IDENTICAL
253567	253566	IDENTICAL
253567	253569	IDENTICAL
253744	253268	IDENTICAL
253744	253567	IDENTICAL
253744	253570	IDENTICAL
253744	253566	IDENTICAL
253744	253569	IDENTICAL
253570	253268	IDENTICAL
253570	253567	IDENTICAL
253570	253744	IDENTICAL
253570	253566	IDENTICAL
253570	253569	IDENTICAL
253566	253268	IDENTICAL
253566	253567	IDENTICAL
253566	253744	IDENTICAL
253566	253570	IDENTICAL
253566	253569	IDENTICAL
253569	253268	IDENTICAL
253569	253567	IDENTICAL
253569	253744	IDENTICAL
253569	253570	IDENTICAL
253569	253566	IDENTICAL
253324	33879	IDENTICAL
33879	253324	IDENTICAL
253368	144383	IDENTICAL
144383	253368	IDENTICAL
253668	151468	IDENTICAL
151468	253668	IDENTICAL
253784	202168	IDENTICAL
253784	184539	IDENTICAL
202168	253784	IDENTICAL
202168	184539	IDENTICAL
184539	253784	IDENTICAL
184539	202168	IDENTICAL
253980	253981	IDENTICAL
253981	253980	IDENTICAL
254024	52669	IDENTICAL
52669	254024	IDENTICAL
254260	253008	IDENTICAL
254260	254263	IDENTICAL
254260	253007	IDENTICAL
254260	253004	IDENTICAL
254260	81688	IDENTICAL
253008	254260	IDENTICAL
253008	254263	IDENTICAL
253008	253007	IDENTICAL
253008	253004	IDENTICAL
253008	81688	IDENTICAL
254263	254260	IDENTICAL
254263	253008	IDENTICAL
254263	253007	IDENTICAL
254263	253004	IDENTICAL
254263	81688	IDENTICAL
253007	254260	IDENTICAL
253007	253008	IDENTICAL
253007	254263	IDENTICAL
253007	253004	IDENTICAL
253007	81688	IDENTICAL
253004	254260	IDENTICAL
253004	253008	IDENTICAL
253004	254263	IDENTICAL
253004	253007	IDENTICAL
253004	81688	IDENTICAL
81688	254260	IDENTICAL
81688	253008	IDENTICAL
81688	254263	IDENTICAL
81688	253007	IDENTICAL
81688	253004	IDENTICAL
254324	268806	IDENTICAL
268806	254324	IDENTICAL
255568	139802	IDENTICAL
139802	255568	IDENTICAL
256700	286871	IDENTICAL
256700	70673	IDENTICAL
286871	256700	IDENTICAL
286871	70673	IDENTICAL
70673	256700	IDENTICAL
70673	286871	IDENTICAL
257108	288207	IDENTICAL
288207	257108	IDENTICAL
258060	195236	IDENTICAL
258060	138035	IDENTICAL
195236	258060	IDENTICAL
195236	138035	IDENTICAL
138035	258060	IDENTICAL
138035	195236	IDENTICAL
258076	139798	IDENTICAL
139798	258076	IDENTICAL
258256	203595	IDENTICAL
203595	258256	IDENTICAL
258916	175536	IDENTICAL
175536	258916	IDENTICAL
259640	124933	IDENTICAL
124933	259640	IDENTICAL
260220	134872	IDENTICAL
134872	260220	IDENTICAL
260840	261837	IDENTICAL
260840	192609	IDENTICAL
261837	260840	IDENTICAL
261837	192609	IDENTICAL
192609	260840	IDENTICAL
192609	261837	IDENTICAL
260988	106980	IDENTICAL
106980	260988	IDENTICAL
261200	161575	IDENTICAL
161575	261200	IDENTICAL
261340	2565519	IDENTICAL
261340	154455	IDENTICAL
2565519	261340	IDENTICAL
2565519	154455	IDENTICAL
154455	261340	IDENTICAL
154455	2565519	IDENTICAL
261492	145295	IDENTICAL
145295	261492	IDENTICAL
261532	195281	IDENTICAL
261532	290035	IDENTICAL
195281	261532	IDENTICAL
195281	290035	IDENTICAL
290035	261532	IDENTICAL
290035	195281	IDENTICAL
261640	239904	IDENTICAL
239904	261640	IDENTICAL
262104	111049	IDENTICAL
111049	262104	IDENTICAL
262292	188830	IDENTICAL
262292	62989	IDENTICAL
188830	262292	IDENTICAL
188830	62989	IDENTICAL
62989	262292	IDENTICAL
62989	188830	IDENTICAL
262540	201502	IDENTICAL
201502	262540	IDENTICAL
262708	169469	IDENTICAL
169469	262708	IDENTICAL
263192	2575382	IDENTICAL
2575382	263192	IDENTICAL
263484	184396	IDENTICAL
184396	263484	IDENTICAL
263496	183073	IDENTICAL
183073	263496	IDENTICAL
263800	3183	IDENTICAL
3183	263800	IDENTICAL
264132	236004	IDENTICAL
264132	110103	IDENTICAL
264132	41049	IDENTICAL
236004	264132	IDENTICAL
236004	110103	IDENTICAL
236004	41049	IDENTICAL
110103	264132	IDENTICAL
110103	236004	IDENTICAL
110103	41049	IDENTICAL
41049	264132	IDENTICAL
41049	236004	IDENTICAL
41049	110103	IDENTICAL
264956	160879	IDENTICAL
160879	264956	IDENTICAL
264968	100560	IDENTICAL
264968	183313	IDENTICAL
100560	264968	IDENTICAL
100560	183313	IDENTICAL
183313	264968	IDENTICAL
183313	100560	IDENTICAL
265000	47482	IDENTICAL
265000	243512	IDENTICAL
47482	265000	IDENTICAL
47482	243512	IDENTICAL
243512	265000	IDENTICAL
243512	47482	IDENTICAL
266756	239828	IDENTICAL
266756	72698	IDENTICAL
266756	192387	IDENTICAL
266756	168303	IDENTICAL
239828	266756	IDENTICAL
239828	72698	IDENTICAL
239828	192387	IDENTICAL
239828	168303	IDENTICAL
72698	266756	IDENTICAL
72698	239828	IDENTICAL
72698	192387	IDENTICAL
72698	168303	IDENTICAL
192387	266756	IDENTICAL
192387	239828	IDENTICAL
192387	72698	IDENTICAL
192387	168303	IDENTICAL
168303	266756	IDENTICAL
168303	239828	IDENTICAL
168303	72698	IDENTICAL
168303	192387	IDENTICAL
266816	229543	IDENTICAL
229543	266816	IDENTICAL
266928	523209	IDENTICAL
523209	266928	IDENTICAL
267176	103563	IDENTICAL
267176	97325	IDENTICAL
103563	267176	IDENTICAL
103563	97325	IDENTICAL
97325	267176	IDENTICAL
97325	103563	IDENTICAL
267240	255594	IDENTICAL
255594	267240	IDENTICAL
267280	240742	IDENTICAL
240742	267280	IDENTICAL
267344	44656	IDENTICAL
267344	241261	IDENTICAL
267344	621271	IDENTICAL
267344	81988	IDENTICAL
267344	2577871	IDENTICAL
267344	22880	IDENTICAL
44656	267344	IDENTICAL
44656	241261	IDENTICAL
44656	621271	IDENTICAL
44656	81988	IDENTICAL
44656	2577871	IDENTICAL
44656	22880	IDENTICAL
241261	267344	IDENTICAL
241261	44656	IDENTICAL
241261	621271	IDENTICAL
241261	81988	IDENTICAL
241261	2577871	IDENTICAL
241261	22880	IDENTICAL
621271	267344	IDENTICAL
621271	44656	IDENTICAL
621271	241261	IDENTICAL
621271	81988	IDENTICAL
621271	2577871	IDENTICAL
621271	22880	IDENTICAL
81988	267344	IDENTICAL
81988	44656	IDENTICAL
81988	241261	IDENTICAL
81988	621271	IDENTICAL
81988	2577871	IDENTICAL
81988	22880	IDENTICAL
2577871	267344	IDENTICAL
2577871	44656	IDENTICAL
2577871	241261	IDENTICAL
2577871	621271	IDENTICAL
2577871	81988	IDENTICAL
2577871	22880	IDENTICAL
22880	267344	IDENTICAL
22880	44656	IDENTICAL
22880	241261	IDENTICAL
22880	621271	IDENTICAL
22880	81988	IDENTICAL
22880	2577871	IDENTICAL
8650	187661	IDENTICAL
187661	8650	IDENTICAL
196955	196963	IDENTICAL
196955	196959	IDENTICAL
196955	196954	IDENTICAL
196955	196967	IDENTICAL
196963	196955	IDENTICAL
196963	196959	IDENTICAL
196963	196954	IDENTICAL
196963	196967	IDENTICAL
196959	196955	IDENTICAL
196959	196963	IDENTICAL
196959	196954	IDENTICAL
196959	196967	IDENTICAL
196954	196955	IDENTICAL
196954	196963	IDENTICAL
196954	196959	IDENTICAL
196954	196967	IDENTICAL
196967	196955	IDENTICAL
196967	196963	IDENTICAL
196967	196959	IDENTICAL
196967	196954	IDENTICAL
41818	47699	IDENTICAL
47699	41818	IDENTICAL
267656	223508	IDENTICAL
223508	267656	IDENTICAL
267736	189297	IDENTICAL
189297	267736	IDENTICAL
1412	102022	IDENTICAL
102022	1412	IDENTICAL
1488	6971	IDENTICAL
6971	1488	IDENTICAL
1632	114117	IDENTICAL
114117	1632	IDENTICAL
1676	1674	IDENTICAL
1676	1675	IDENTICAL
1674	1676	IDENTICAL
1674	1675	IDENTICAL
1675	1676	IDENTICAL
1675	1674	IDENTICAL
1880	36578	IDENTICAL
1880	36118	IDENTICAL
1880	24520	IDENTICAL
1880	51502	IDENTICAL
1880	403800	IDENTICAL
36578	1880	IDENTICAL
36578	36118	IDENTICAL
36578	24520	IDENTICAL
36578	51502	IDENTICAL
36578	403800	IDENTICAL
36118	1880	IDENTICAL
36118	36578	IDENTICAL
36118	24520	IDENTICAL
36118	51502	IDENTICAL
36118	403800	IDENTICAL
24520	1880	IDENTICAL
24520	36578	IDENTICAL
24520	36118	IDENTICAL
24520	51502	IDENTICAL
24520	403800	IDENTICAL
51502	1880	IDENTICAL
51502	36578	IDENTICAL
51502	36118	IDENTICAL
51502	24520	IDENTICAL
51502	403800	IDENTICAL
403800	1880	IDENTICAL
403800	36578	IDENTICAL
403800	36118	IDENTICAL
403800	24520	IDENTICAL
403800	51502	IDENTICAL
1904	100886	IDENTICAL
1904	203337	IDENTICAL
100886	1904	IDENTICAL
100886	203337	IDENTICAL
203337	1904	IDENTICAL
203337	100886	IDENTICAL
1916	401612	IDENTICAL
401612	1916	IDENTICAL
1968	404343	IDENTICAL
1968	28494	IDENTICAL
404343	1968	IDENTICAL
404343	28494	IDENTICAL
28494	1968	IDENTICAL
28494	404343	IDENTICAL
2064	2847	IDENTICAL
2064	229032	IDENTICAL
2847	2064	IDENTICAL
2847	229032	IDENTICAL
229032	2064	IDENTICAL
229032	2847	IDENTICAL
2220	88869	IDENTICAL
88869	2220	IDENTICAL
2520	77632	IDENTICAL
77632	2520	IDENTICAL
2676	289396	IDENTICAL
289396	2676	IDENTICAL
2736	137561	IDENTICAL
2736	51601	IDENTICAL
137561	2736	IDENTICAL
137561	51601	IDENTICAL
51601	2736	IDENTICAL
51601	137561	IDENTICAL
2760	182885	IDENTICAL
2760	759604	IDENTICAL
2760	756746	IDENTICAL
2760	145306	IDENTICAL
2760	202171	IDENTICAL
2760	185261	IDENTICAL
182885	2760	IDENTICAL
182885	759604	IDENTICAL
182885	756746	IDENTICAL
182885	145306	IDENTICAL
182885	202171	IDENTICAL
182885	185261	IDENTICAL
759604	2760	IDENTICAL
759604	182885	IDENTICAL
759604	756746	IDENTICAL
759604	145306	IDENTICAL
759604	202171	IDENTICAL
759604	185261	IDENTICAL
756746	2760	IDENTICAL
756746	182885	IDENTICAL
756746	759604	IDENTICAL
756746	145306	IDENTICAL
756746	202171	IDENTICAL
756746	185261	IDENTICAL
145306	2760	IDENTICAL
145306	182885	IDENTICAL
145306	759604	IDENTICAL
145306	756746	IDENTICAL
145306	202171	IDENTICAL
145306	185261	IDENTICAL
202171	2760	IDENTICAL
202171	182885	IDENTICAL
202171	759604	IDENTICAL
202171	756746	IDENTICAL
202171	145306	IDENTICAL
202171	185261	IDENTICAL
185261	2760	IDENTICAL
185261	182885	IDENTICAL
185261	759604	IDENTICAL
185261	756746	IDENTICAL
185261	145306	IDENTICAL
185261	202171	IDENTICAL
2816	2327	IDENTICAL
2327	2816	IDENTICAL
91560	306863	IDENTICAL
91560	91559	IDENTICAL
306863	91560	IDENTICAL
306863	91559	IDENTICAL
91559	91560	IDENTICAL
91559	306863	IDENTICAL
91688	123888	IDENTICAL
123888	91688	IDENTICAL
97328	139094	IDENTICAL
139094	97328	IDENTICAL
146932	65232	IDENTICAL
65232	146932	IDENTICAL
146960	2545715	IDENTICAL
2545715	146960	IDENTICAL
147460	634579	IDENTICAL
634579	147460	IDENTICAL
147752	248260	IDENTICAL
248260	147752	IDENTICAL
148120	4660	IDENTICAL
4660	148120	IDENTICAL
148152	39735	IDENTICAL
39735	148152	IDENTICAL
175432	175430	IDENTICAL
175430	175432	IDENTICAL
175764	175761	IDENTICAL
175761	175764	IDENTICAL
176660	660365	IDENTICAL
660365	176660	IDENTICAL
176728	67156	IDENTICAL
67156	176728	IDENTICAL
176736	145831	IDENTICAL
145831	176736	IDENTICAL
177324	237755	IDENTICAL
237755	177324	IDENTICAL
178296	641567	IDENTICAL
178296	758440	IDENTICAL
641567	178296	IDENTICAL
641567	758440	IDENTICAL
758440	178296	IDENTICAL
758440	641567	IDENTICAL
2868	2131	IDENTICAL
2131	2868	IDENTICAL
3048	403208	IDENTICAL
403208	3048	IDENTICAL
3096	403147	IDENTICAL
403147	3096	IDENTICAL
3244	144052	IDENTICAL
3244	219013	IDENTICAL
144052	3244	IDENTICAL
144052	219013	IDENTICAL
219013	3244	IDENTICAL
219013	144052	IDENTICAL
3284	11518	IDENTICAL
11518	3284	IDENTICAL
3364	38092	IDENTICAL
38092	3364	IDENTICAL
3392	2565546	IDENTICAL
2565546	3392	IDENTICAL
3492	2536502	IDENTICAL
2536502	3492	IDENTICAL
3620	525699	IDENTICAL
525699	3620	IDENTICAL
3712	5936	IDENTICAL
5936	3712	IDENTICAL
3852	214409	IDENTICAL
214409	3852	IDENTICAL
3976	32191	IDENTICAL
3976	758207	IDENTICAL
32191	3976	IDENTICAL
32191	758207	IDENTICAL
758207	3976	IDENTICAL
758207	32191	IDENTICAL
3988	627226	IDENTICAL
3988	52223	IDENTICAL
627226	3988	IDENTICAL
627226	52223	IDENTICAL
