salt_code_number	salt_name	salt_description	salt_weight	salt_formula
345	# Dodecylsulfuric acid*,LAURILSULFATE,LAURILSULPHATE,LAURYLSULFATE,LAURYLSULPHATE,n-Dodecylsulfate	# Dodecylsulfuric acid*,LAURILSULFATE,LAURILSULPHATE,LAURYLSULFATE,LAURYLSULPHATE,n-Dodecylsulfate	266.39744	C12H26O4S
346	LAURATE	LAURATE	199.30982	C12H23O2
347	# Dodecanoic acid*	# Dodecanoic acid*	200.31776	C12H24O2
348	TETRADECYL HYDROGEN PHOSPHATE	TETRADECYL HYDROGEN PHOSPHATE	294.3673	C14H31O4P
349	PALMITATE	PALMITATE	255.41614	C16H31O2
350	octadecyl hydrogen phosphate	octadecyl hydrogen phosphate	350.47362	C18H39O4P
351	STEARATE	STEARATE	283.4693	C18H35O2
352	OLEATE	OLEATE	281.45342	C18H33O2
353	Stearoyl-glycolate	Stearoyl-glycolate	341.50538	C20H37O4
354	# Heptane	# Heptane	100.20194	C7H16
355	# Hexane*	# Hexane*	86.17536	C6H14
356	2,6-di-tert-butyl-1,5-naphthalenedisulfonate	2,6-di-tert-butyl-1,5-naphthalenedisulfonate	398.49367	C18H22O6S2
357	3,7-di-tert-butyl-1,5-naphthalenedisulfonate	3,7-di-tert-butyl-1,5-naphthalenedisulfonate	398.49367	C18H22O6S2
358	# Pentane*	# Pentane*	72.14878	C5H12
359	[(6-hydroxy-4-methyl-2-oxo-2H-1-benzopyran-7-yl)oxy]acetate	[(6-hydroxy-4-methyl-2-oxo-2H-1-benzopyran-7-yl)oxy]acetate	250.2042	C12H10O6
360	# 4-Picoline	# 4-Picoline	93.12648	C6H7N
361	# Mesitylenesulfonic acid	# Mesitylenesulfonic acid	200.25477	C9H12O3S
362	# Xylene (para)	# Xylene (para)	106.165	C8H10
363	# Xylene (meta)	# Xylene (meta)	106.165	C8H10
364	# 2-Methylbenzenesulfonic	# 2-Methylbenzenesulfonic	172.20162	C7H8O3S
365	# 3-Methylbenzenesulfonic acid*	# 3-Methylbenzenesulfonic acid*	172.20162	C7H8O3S
366	p-toluenesulfonate,p-Toluenesulfonate,p-TOLUENESULFONATE,# p-toluenesulfonic acid,p-TOLUENESULPHONATE	p-toluenesulfonate,p-Toluenesulfonate,p-TOLUENESULFONATE,# p-toluenesulfonic acid,p-TOLUENESULPHONATE	171.19368	C7H7O3S
367	# p-toluenesulfonic acid,TOSILATE,TOSYLATE	# p-toluenesulfonic acid,TOSILATE,TOSYLATE	172.20162	C7H8O3S
368	# p-toluenesulfonic acid	# p-toluenesulfonic acid	171.19368	C7H7O3S
369	# Xylene (ortho)	# Xylene (ortho)	106.165	C8H10
370	# Toluene	# Toluene	92.13842	C7H8
371	CAMPHOR-10-SULFONATE,camphorsulfonate,Camphorsulfonate	CAMPHOR-10-SULFONATE,camphorsulfonate,Camphorsulfonate	231.2887	C10H15O4S
372	4-methylbicyclo[2,2,2]oct-2-ene-1-carboxylate,4-Methylbicyclo[2.2.2]oct-2-ene-1-carboxylate,4-METHYLBICYCLO[2.2.2]OCT-2-ENE-1-CARBOXYLATE	4-methylbicyclo[2,2,2]oct-2-ene-1-carboxylate,4-Methylbicyclo[2.2.2]oct-2-ene-1-carboxylate,4-METHYLBICYCLO[2.2.2]OCT-2-ENE-1-CARBOXYLATE	165.20902	C10H13O2
373	# Elements	# Elements	42.09388	CaH2
374	# Elements	# Elements	41.08594	CaH
375	# Elements	# Elements	40.078	Ca
376	# 1,4-Dioxane	# 1,4-Dioxane	88.10512	C4H8O2
377	# Morpholine	# Morpholine	88.1283	C4H10NO
378	# Morpholine	# Morpholine	87.12036	C4H9NO
379	# Piperazine	# Piperazine	86.1356	C4H10N2
380	# THF	# THF	72.10572	C4H8O
381	# Pyridine	# Pyridine	80.10784	C5H6N
382	# Piperidine	# Piperidine	86.15548	C5H12N
383	# Piperidine	# Piperidine	85.14754	C5H11N
384	# Pyridine	# Pyridine	79.0999	C5H5N
385	DICYCLOHEXYLAMMONIUM	DICYCLOHEXYLAMMONIUM	182.32566	C12H24N
386	# Dicyclohexylamine	# Dicyclohexylamine	181.31772	C12H23N
387	# Cyclohexane	# Cyclohexane	84.15947	C6H12
389	# Halogens	# Halogens	79.904	Br
390	# Elements	# Elements	212.0042	BiH3
391	# Elements	# Elements	208.98038	Bi
392	# Elements	# Elements	137.327	Ba
393	# Elements	# Elements	196.96655	Au
394	# Elements	# Elements	80.96924	AsH6
395	# Elements	# Elements	26.98153	Al
396	# Elements	# Elements	107.8682	Ag
